Entry	Gene names
Q2M1Z3	ARHGAP31 CDGAP KIAA1204
O00212	RHOD ARHD
Q53QZ3	ARHGAP15 BM-024 BM-030 BM-046
Q5UIP0	RIF1
A6NNM3	RIMBP3B
Q9NWU5	MRPL22 MRPL25 RPML25 HSPC158
Q99496	RNF2 BAP1 DING HIPI3 RING1B
Q9UJD0	RIMS3 KIAA0237
Q9H426	RIMS4 C20orf190
Q9P0M9	MRPL27 HSPC250
Q6NUQ1	RINT1
Q9BRS2	RIOK1 RIO1
O75394	MRPL33 C2orf1
Q9BQ48	MRPL34
Q9H6W3	RIOX1 C14orf169 MAPJD NO66
Q8IUF8	RIOX2 MDIG MINA MINA53 NO52
Q9BZE1	MRPL37 MRPL2 RPML2 HSPC235
Q9BRJ2	MRPL45
Q9H2W6	MRPL46 C15orf4 LIECG2
Q9HD33	MRPL47 NCM1 CGI-204
Q96GC5	MRPL48 CGI-118 HSPC290
Q13405	MRPL49 C11orf4 NOF1 OK/SW-cl.67
Q8N5N7	MRPL50
Q4U2R6	MRPL51 MRP64 CDA09 HSPC241
Q86TS9	MRPL52
Q86UA6	RPAIN RIP
Q7Z7F7	MRPL55 UNQ5835/PRO19675
Q5EBL4	RILPL1 RLP1
Q0D2K3	RIPPLY1
Q5TAB7	RIPPLY2 C6orf159
Q7LG56	RRM2B P53R2
P23921	RRM1 RR1
Q9H1E1	RNASE7 UNQ2516/PRO6006
Q15835	GRK1 RHOK
P62906	RPL10A NEDD6
P52198	RND2 ARHN RHO7
Q9Y3C5	RNF11 CGI-123
Q9NVW2	RLIM RNF12
Q9BXT8	RNF17 TDRD4
Q9Y225	RNF24
Q9BXB4	OSBPL11 ORP11 OSBP12
P39656	DDOST KIAA0115 OST48 OK/SW-cl.45
Q5VV17	OTUD1 DUBA7 OTDC1
Q9H4L5	OSBPL3 KIAA0704 ORP3 OSBP3
Q96BN8	OTULIN FAM105B
Q99572	P2RX7
O95747	OXSR1 KIAA1101 OSR1
Q8IVL5	P3H2 LEPREL1 MLAT4
P68402	PAFAH1B2 PAFAHB
Q15102	PAFAH1B3 PAFAHG
Q9BY11	PACSIN1 KIAA1379
Q8NDF8	TENT4B GLD4 PAPD5 TRF4-2
Q5XG87	TENT4A PAPD7 POLS TRF4
P51003	PAPOLA PAP
Q9BWT3	PAPOLG PAP2 PAPG
Q5QFB9	PAPPA-AS1 DIPAS PAPPAS
Q9BYG5	PARD6B PAR6B
Q53GL7	PARP10
Q9H0J9	PARP12 ZC3HDC1
Q460N3	PARP15 BAL3
Q8N5Y8	PARP16 ARTD15 C15orf30
Q9NWS1	PARPBP C12orf48 PARI
P55085	F2RL1 GPR11 PAR2
Q6UY27	PATE2 C11orf38 UNQ3112/PRO10144
Q6UWI2	PARM1 UNQ1879/PRO4322
Q8IV76	PASD1
C9JE40	PATL2
Q9Y5B6	PAXBP1 C21orf66 GCFC GCFC1
Q6ZW49	PAXIP1 PAXIP1L PTIP CAGF28
P23759	PAX7 HUP1
Q86U86	PBRM1 BAF180 PB1
Q96AQ6	PBXIP1 HPIP
Q7L5N7	LPCAT2 AGPAT11 AYTL1
P05166	PCCB
Q15365	PCBP1
Q9Y5I2	PCDHA10 CNRS8
Q9Y5I1	PCDHA11 CNRS7
Q9Y5F3	PCDHB1
P57723	PCBP4
Q9Y5E6	PCDHB3
Q9Y5E3	PCDHB6
